unit,age,supergroup,group,principal_aquifer,system,hard_rock,confidence,note,km2_ap,wells_ap
BHIMA Gp,NEOPROTEROZOIC - CAMBRIAN,"",BHIMA,Limestone,sedimentaire consolide,TRUE,sur,calcaires et schistes du bassin de la Bhima,100,2
NALLAMALAI Gp. (BAIRENKONDA Fm.),MESOPROTEROZOIC,CUDDAPAH,NALLAMALAI,Quartzite,sedimentaire consolide,TRUE,sur,quartzites de Bairenkonda (Nallamalai),5650,9
UDAIGIRI Gp.,MESOPROTEROZOIC,"",UDAIGIRI,Quartzite,sedimentaire consolide,TRUE,a verifier,"metasediments de la ceinture de Nellore (quartzites, micaschistes, marbre)",3200,19
SRISAILAM Fm.(CUDDAPAH SGp.),MESOPROTEROZOIC,CUDDAPAH,NALLAMALAI,Quartzite,sedimentaire consolide,TRUE,sur,quartzites de Srisailam,2575,10
GANDIKOTA Fm (CHITRAVATI Gp),MESOPROTEROZOIC,CUDDAPAH,CHITRAVATI,Quartzite,sedimentaire consolide,TRUE,sur,quartzite de Gandikota,725,2
KURNOOL Gp (BANGANAPALLI Fm.),NEOPROTEROZOIC,"",KURNOOL,Quartzite,sedimentaire consolide,TRUE,sur,quartzite de Banganapalli (base du Kurnool),175,0
SULLAVAI (UNCLASFD) Gp.,NEOPROTEROZOIC,"",SULLAVAI (UNCLASFD),Sandstone,sedimentaire consolide,TRUE,sur,gres consolides neoproterozoiques (Sullavai),1050,10
SULLAVAI Gp.,NEOPROTEROZOIC,"",SULLAVAI,Sandstone,sedimentaire consolide,TRUE,sur,gres de Sullavai,75,1
NALLAMALAI Gp.(CUMBUM Fm.),MESOPROTEROZOIC,CUDDAPAH,NALLAMALAI,Shale,sedimentaire consolide,TRUE,sur,"phyllades, schistes argileux, dolomie subordonnee (bassin de Cuddapah)",12825,59
CHITRAVATI Gp.(TADPATRI / PULIVENDLA Fm.),MESOPROTEROZOIC,CUDDAPAH,CHITRAVATI,Shale,sedimentaire consolide,TRUE,a verifier,"Tadpatri (schistes argileux, dolomie, volcanites) + quartzite de Pulivendla ; code sur Tadpatri",3300,38
MALLAMPALLI Gp. (PAKHAL SGp.),MESOPROTEROZOIC,PAKHAL,MALLAMPALLI,Shale,sedimentaire consolide,TRUE,a verifier,"Pakhal : gres, schistes, dolomie",1575,4
LATERITE / BAUXITE,CENOZOIC,"","",Laterite,semi-consolide,FALSE,sur,laterite / bauxite,775,17
"UPPER GONDWANA Gp. (YERRAPALLI , TERANI , SRIPERUMPUDURF, KOTA, MALERI, Fm.Etc)",TRIASSIC - EARLY CRETACEOUS,GONDWANA,UPPER GONDWANA,Sandstone,semi-consolide,FALSE,sur,gres peu consolides (Gondwana superieur),10950,110
"LOWER GONDWANA Gp.(BARREN MEASURE, KAMTHI, PALI Fm.)",LATE PERMIAN - EARLY TRIASSIC,GONDWANA,LOWER GONDWANA,Sandstone,semi-consolide,FALSE,sur,gres de Kamthi / Barren Measures (Gondwana inferieur),6500,56
RAJAHMUNDRY Fm.,MIOCENE - PLIOCENE,"","",Sandstone,semi-consolide,FALSE,sur,gres tertiaires cotiers (Mio-Pliocene),1825,44
"LOWER GONDWANA Gp.( TALCHIR,BARAKAR,RANIGANJ, KARHARBARI Fm.)",LATE CARBONIFEROUS - PERMIAN,GONDWANA,LOWER GONDWANA,Sandstone,semi-consolide,FALSE,sur,"Gondwana inferieur (Talchir, Barakar) : gres, schistes, charbon",300,9
